result,factors,iterations,regularization,alpha
0.04008641863825046,544.0,150,0.8874963241550479,24.847482631128276
7.716105124448992e-05,1342.0,150,0.2667326810864904,44.47897468022079
0.042424099826753284,814.0,150,0.4267565955828443,39.79357084487787
0.041559878884361086,714.0,150,0.5928711557477274,39.09501267684349
0.04207369725995764,772.0,150,0.4751698945916386,42.76656095407267
6.222226681560856e-05,1217.0,150,0.2346779244462428,5.6955212445117915
8.32079144342102e-05,1438.0,150,0.9613069042335859,37.22506008293796
7.915883495318807e-05,1275.0,150,0.4679315307828339,9.41938191455614
6.478081235771919e-05,1330.0,150,0.2002570304681205,41.802536663465716
0.03983297212690231,581.0,150,0.7214543737579397,40.22913410071527
0.04113908119786615,642.0,150,0.1430079803035137,27.853063269024883
0.041823239620330334,767.0,150,0.21196401270534443,49.52245989477302
0.04326941540299974,945.0,150,0.5075718772689795,42.806937252191496
9.184119403251297e-05,1151.0,150,0.5962825993199365,31.77857350743283
0.043165326635404705,772.0,150,0.976155345476251,3.0992900885061196
0.04058686234244427,812.0,150,0.9952861641366686,0.9652320883789471
0.04193664394633472,621.0,150,0.6287556813005715,3.7870213650677726
7.597263749813262e-05,1188.0,150,0.868030800963469,9.394966098585623
