result,similarity,topK,shrink,asymmetric_alpha,tversky_alpha,tversky_beta
0.03936639154400015,asymmetric,7.0,8.0,0.02957682990130532,,
0.03697098144650879,jaccard,16.0,0.0,,,
0.03841038854721038,dice,5.0,29.0,,,
0.03810986529785511,jaccard,11.0,27.0,,,
0.03694359558526581,cosine,19.0,8.0,,,
0.03657963728990233,tversky,7.0,2.0,,0.9561357844166489,0.6094764622705711
0.03743625180701056,asymmetric,12.0,1.0,0.06501909119444876,,
0.0398198247087414,asymmetric,10.0,15.0,0.05863422497373184,,
0.037071330567571316,jaccard,20.0,5.0,,,
0.038037566171039525,asymmetric,20.0,6.0,0.028574935986127196,,
0.03740305562197197,cosine,15.0,19.0,,,
0.03979807592561514,asymmetric,9.0,14.0,0.022195400831725207,,
0.03985549164705966,asymmetric,10.0,15.0,0.1373022141662663,,
0.03985269513709472,asymmetric,10.0,17.0,0.14955257394554378,,
0.037644072469790124,dice,14.0,21.0,,,
0.038098924257376626,tversky,8.0,20.0,,1.9547791348668808,1.947377998722806
0.03936714745543306,asymmetric,13.0,11.0,0.14970072253587624,,
0.04035572718923625,asymmetric,5.0,23.0,0.1497310578999706,,
0.04036864830287633,asymmetric,5.0,25.0,0.11287550810577562,,
0.037899883589088176,cosine,5.0,25.0,,,
0.038348434419904785,dice,6.0,24.0,,,
0.0402397906508007,asymmetric,7.0,23.0,0.11944137561738163,,
0.04038187721456122,asymmetric,5.0,23.0,0.109996588699564,,
0.040354206105153397,asymmetric,5.0,26.0,0.10509297448761372,,
0.03996160690377431,asymmetric,8.0,30.0,0.09844799623043665,,
0.03743129468466575,tversky,6.0,21.0,,0.030937721235503757,0.18470437018108066
0.04027284721766659,asymmetric,6.0,28.0,0.0885689123290378,,
0.040099904460374355,asymmetric,8.0,23.0,0.12251320735411005,,
0.03924066904999102,asymmetric,17.0,18.0,0.12333316565863016,,
0.04039792209108868,asymmetric,5.0,23.0,0.09023532479361698,,
0.038418543920704686,jaccard,7.0,26.0,,,
0.04039348156172394,asymmetric,5.0,23.0,0.08010789096008006,,
0.040369646668187154,asymmetric,6.0,22.0,0.08459004726992814,,
0.04036629809040655,asymmetric,6.0,22.0,0.07689481604895959,,
0.038113226803838954,dice,8.0,17.0,,,
0.037855900532838604,cosine,6.0,28.0,,,
0.03821183545619849,jaccard,9.0,20.0,,,
0.038036840700604535,tversky,7.0,30.0,,1.8722471526339912,1.6163883399095378
0.04034832817751961,asymmetric,5.0,27.0,0.0837519129160532,,
0.039689595916308974,asymmetric,12.0,22.0,0.057153069886410446,,
0.03913532225349393,asymmetric,17.0,13.0,0.09287519622290254,,
0.040375375902586746,asymmetric,5.0,25.0,0.1087453871766138,,
0.040340187703381096,asymmetric,6.0,25.0,0.07191005078650528,,
0.040384570628792915,asymmetric,5.0,24.0,0.10484153393918455,,
0.04028514155722773,asymmetric,5.0,28.0,0.10477813158970939,,
0.03837934293907558,jaccard,7.0,19.0,,,
0.037780886078948604,cosine,9.0,24.0,,,
0.04034655518991121,asymmetric,5.0,26.0,0.10809639306338573,,
0.03827669101825336,dice,7.0,20.0,,,
0.04037316849083277,asymmetric,5.0,17.0,0.09665748060815613,,
0.03900947727541437,tversky,11.0,9.0,,0.006234418942606679,1.1360204560515732
0.04031961220195389,asymmetric,6.0,16.0,0.09665535912694097,,
0.040383628867043955,asymmetric,5.0,24.0,0.11405583168815432,,
0.04037521639460816,asymmetric,5.0,24.0,0.13042847998348192,,
0.04021494354198722,asymmetric,7.0,27.0,0.007625496226369002,,
0.04039991910607967,asymmetric,5.0,21.0,0.11067005600055276,,
0.0403418591232363,asymmetric,6.0,21.0,0.1159331982846232,,
0.04016725626457991,asymmetric,8.0,19.0,0.07512342825684998,,
0.037947164939727066,cosine,5.0,23.0,,,
0.04032998121620453,asymmetric,6.0,21.0,0.13339847345033945,,
0.038302692480199296,dice,7.0,24.0,,,
0.040374669355721676,asymmetric,5.0,25.0,0.10431280683649803,,
0.040385602079021275,asymmetric,5.0,23.0,0.11139612117915731,,
0.04034508677051137,asymmetric,6.0,22.0,0.046124637041236025,,
0.04037821414094347,asymmetric,5.0,23.0,0.11472739325626462,,
0.0388858953157391,asymmetric,19.0,27.0,0.12743244202760423,,
0.03877679257872275,asymmetric,6.0,3.0,0.10150489311779251,,
0.0378898882351546,jaccard,14.0,20.0,,,
0.038598730014475245,tversky,5.0,26.0,,0.9710325902647831,1.037945421556892
0.04035815055807114,asymmetric,6.0,23.0,0.09053435337229634,,
0.04025742299513465,asymmetric,7.0,18.0,0.11512689523753532,,
0.040378509998037576,asymmetric,5.0,23.0,0.11435360803660774,,
0.04038408704073577,asymmetric,5.0,24.0,0.11043298792202892,,
