result,similarity,topK,shrink,tversky_alpha,tversky_beta,asymmetric_alpha
0.049956190873710456,tversky,19.0,22.0,0.9545980511376628,1.1748421355890462,
0.05018479770296993,jaccard,13.0,18.0,,,
0.05298976421616701,tversky,11.0,28.0,0.19835131141436757,1.4131296504830837,
0.050130633527657086,asymmetric,20.0,2.0,,,0.019825097980394495
0.04957288086268531,tversky,7.0,25.0,1.851554481507151,1.1014920102094916,
0.053721478526970026,asymmetric,8.0,9.0,,,0.09764920359114282
0.05244911207082363,asymmetric,9.0,3.0,,,0.033231014302036614
0.04936124520779749,cosine,14.0,16.0,,,
0.050354199382516084,jaccard,12.0,15.0,,,
0.053711385031778545,asymmetric,5.0,3.0,,,0.06815409995379614
0.04896185875217192,dice,17.0,10.0,,,
0.054667788015379304,asymmetric,5.0,7.0,,,0.11233762540787884
0.054721583491509726,asymmetric,5.0,9.0,,,0.13783014063190935
0.05470473909357585,asymmetric,5.0,9.0,,,0.14899957402254185
0.05123244966632061,dice,7.0,12.0,,,
0.05015399926848054,cosine,10.0,5.0,,,
0.053317463090378124,asymmetric,5.0,0.0,,,0.1480045552034469
0.051947449736567106,asymmetric,15.0,12.0,,,0.1425435106872523
0.05374691274701807,asymmetric,7.0,20.0,,,0.12959462729278437
0.05085260831898557,jaccard,9.0,7.0,,,
0.05130519390324497,cosine,6.0,12.0,,,
0.054661543846547575,asymmetric,5.0,7.0,,,0.10867177268245315
0.054331205242867886,asymmetric,6.0,7.0,,,0.1179453413202052
0.05371564512251851,asymmetric,8.0,10.0,,,0.08802775830816323
0.054751337198370366,asymmetric,5.0,13.0,,,0.12814701649007615
0.0529798439829112,asymmetric,10.0,14.0,,,0.1482396062674972
0.05153403547456008,dice,6.0,17.0,,,
0.05339188967254899,asymmetric,8.0,20.0,,,0.12848509224193866
0.051799697315411355,asymmetric,16.0,13.0,,,0.06070498977569355
0.03586132176944134,tversky,18.0,9.0,1.9898156959353377,0.045012465436169435,
0.05149021902152436,dice,6.0,22.0,,,
0.05457817445212565,asymmetric,5.0,6.0,,,0.1255766234761123
0.0547476943652361,asymmetric,5.0,10.0,,,0.13445103782401027
0.05139007279029619,jaccard,7.0,10.0,,,
0.0541656644406303,asymmetric,6.0,5.0,,,0.13288389525784408
0.053768526855190034,tversky,9.0,18.0,0.007612269209903655,1.958601897181006,
0.05396800202106444,asymmetric,7.0,14.0,,,0.14919631793765004
0.05252193517247898,asymmetric,12.0,9.0,,,0.13595772135350698
0.03997089893693652,tversky,8.0,28.0,1.1228438201494293,0.005613701635930113,
0.048643103621064956,cosine,20.0,11.0,,,
0.05164858908764127,jaccard,5.0,26.0,,,
0.054669660983334166,asymmetric,5.0,7.0,,,0.11224150432901596
0.05439284175247172,asymmetric,6.0,8.0,,,0.11835377300192301
0.05419592615030949,asymmetric,5.0,4.0,,,0.10017735262305613
0.054320377477089954,asymmetric,6.0,15.0,,,0.138337723509633
0.05304435719216564,asymmetric,7.0,1.0,,,0.12315099080268847
0.05475140053738076,asymmetric,5.0,11.0,,,0.1359659814099829
0.05234995632318701,asymmetric,13.0,12.0,,,0.13867999322144448
0.05391805095827581,asymmetric,7.0,16.0,,,0.13766938106446422
0.0507211723932392,cosine,8.0,11.0,,,
0.05178881308808446,dice,5.0,14.0,,,
0.05469887852907335,asymmetric,5.0,8.0,,,0.12959265912411697
0.05442241750038211,asymmetric,6.0,9.0,,,0.12810173606249184
0.05474848353760371,asymmetric,5.0,11.0,,,0.14120831205968126
0.05441123901386179,asymmetric,6.0,11.0,,,0.1498994725223724
0.05402270959743958,asymmetric,7.0,13.0,,,0.14035042718746665
0.05182231659359378,jaccard,5.0,10.0,,,
0.05445722228528951,asymmetric,6.0,13.0,,,0.015210722429248133
0.05244966146531107,asymmetric,11.0,5.0,,,0.04771444994260275
0.05113326363051527,tversky,5.0,8.0,0.7167850270139798,0.5756015280198922,
0.05341784940304935,asymmetric,9.0,11.0,,,0.0903063516896433
0.05468844903699531,asymmetric,5.0,8.0,,,0.13318873703188486
0.05458455126292302,asymmetric,5.0,6.0,,,0.12075522801845004
0.05439707598779945,asymmetric,6.0,10.0,,,0.14348898354946232
0.05405455798224736,asymmetric,7.0,12.0,,,0.14218365142389439
0.051612249586708035,cosine,5.0,8.0,,,
0.05444701448951389,asymmetric,6.0,9.0,,,0.10484159950252771
0.05131703108191343,dice,6.0,3.0,,,
0.05407988539214213,asymmetric,7.0,16.0,,,0.0007209180102233093
0.05457043378018893,asymmetric,5.0,6.0,,,0.1312733900100339
0.053705082412578264,asymmetric,8.0,13.0,,,0.11849376114618909
0.054686031386643165,asymmetric,5.0,8.0,,,0.13314892029499387
0.05472743940229474,asymmetric,5.0,10.0,,,0.14370710603124978
0.054395108491976166,asymmetric,6.0,10.0,,,0.14395964975802644
0.05475680745670376,asymmetric,5.0,11.0,,,0.14401030086806713
0.051643572736399114,jaccard,6.0,11.0,,,
0.05189422610822371,asymmetric,15.0,14.0,,,0.1452224853398242
0.05204267749612697,tversky,7.0,12.0,1.5160972343468067,1.9272376419409674,
0.05475006134644143,asymmetric,5.0,12.0,,,0.139888254261058
0.05455819453151408,asymmetric,5.0,17.0,,,0.1374542316493351
0.05472887266730666,asymmetric,5.0,15.0,,,0.12594925316333078
0.05474857476821665,asymmetric,5.0,13.0,,,0.12572926273786628
0.054375706522017744,asymmetric,6.0,15.0,,,0.12460193234103495
0.054739987583397175,asymmetric,5.0,14.0,,,0.12556864950361357
0.054747950402628476,asymmetric,5.0,14.0,,,0.11556339026685115
0.05443091977726845,asymmetric,6.0,13.0,,,0.11581760790348355
0.05154109650940429,dice,6.0,14.0,,,
0.05118613277374756,cosine,5.0,18.0,,,
0.05464954360990544,asymmetric,5.0,17.0,,,0.11267438914006657
0.05406540864111185,asymmetric,7.0,12.0,,,0.1321384637815736
0.051446273462637235,asymmetric,18.0,13.0,,,0.12293600917908937
0.05472943769894236,asymmetric,5.0,15.0,,,0.12619593140412
0.05474431140719973,asymmetric,5.0,16.0,,,0.07508309774335584
0.05443387468000042,asymmetric,6.0,16.0,,,0.07116583154981751
0.054742236736660524,asymmetric,5.0,11.0,,,0.04139629268811345
0.05447127076094086,asymmetric,6.0,11.0,,,0.04795890356001037
0.051844313916728856,jaccard,5.0,12.0,,,
0.05386923674270515,asymmetric,5.0,30.0,,,0.08142309494604869
0.054472943037449505,asymmetric,6.0,11.0,,,0.04021416561504586
0.05183022613290113,tversky,5.0,19.0,0.5270943712746126,0.6017617701560966,
