result,topK
0.05997583930327103,122.0
0.05999292302958375,597.0
0.0600064069547828,360.0
0.05999426194600907,664.0
0.05999974804736534,491.0
0.06003234915729457,185.0
0.059999789296247726,536.0
0.05999482493751178,582.0
0.05999960757819834,638.0
0.05983747494408919,87.0
0.0600382622403253,291.0
0.060035380392732124,291.0
0.06001980615254772,316.0
0.06005484540587597,258.0
0.06004173049094906,229.0
0.060040039286771575,212.0
0.05999181711360216,773.0
0.059996309897277396,409.0
0.060052284630664594,206.0
0.06000979493731097,147.0
0.06000131996423435,427.0
0.060048871006939154,200.0
0.06005955223780571,245.0
0.06001190754898965,364.0
0.060059503185080736,261.0
0.060046350365775374,264.0
0.06001002124874683,372.0
0.05999787178063447,486.0
0.0600046332528404,149.0
0.059870220982524244,93.0
0.06005838166141391,261.0
0.06005667596438582,256.0
0.06001885742825307,338.0
0.060038409398500206,161.0
0.06004940389790603,259.0
0.06001708149664144,309.0
0.059998890739512686,399.0
0.06005532144027528,245.0
0.06002479615248072,182.0
0.059966713266753485,123.0
0.060016335672254686,341.0
0.06005954220429377,250.0
0.06003327781456544,271.0
0.059996383476364885,451.0
0.060043728274657766,232.0
0.060015103779956586,305.0
0.06001945274996075,179.0
0.06001341257577914,336.0
0.059956858128369074,124.0
0.06002956764482074,287.0
0.06004342169512658,230.0
0.060054209950120445,236.0
0.06006386664793552,248.0
0.06002536806266077,277.0
0.06004951872587595,204.0
0.059996172772614355,727.0
0.059993643212773375,548.0
0.05999864770555704,380.0
0.060022675736959685,321.0
