result,l1_ratio,alpha
0.059542844210772994,0.7621336888384238,7.759832103302262e-05
0.05928972323114577,0.8501233145760752,8.571735555958482e-05
0.059421345070310674,0.8619438663940594,7.509437256010527e-05
0.05844759831169269,0.10181040630641747,8.709577144041078e-05
0.059042131831426495,0.8443833575718087,3.256506068521583e-05
0.0593446110007406,0.8969975342375346,7.732564392550066e-05
0.058565066210028896,0.35718559696141516,4.509488798803262e-05
0.05912054818649643,0.8395710089441387,9.409426143583896e-05
0.05801891874415957,0.43649677965682543,2.772706378393855e-05
0.05931389173171557,0.23834155421060943,8.60722835917668e-05
